; ISO 3166-2:CG
; Source: https://www.iso.org/obp/ui/#iso:code:3166:CG
; Extracted on: 20220210
; 
; Subdivision category	3166-2 code	Subdivision name	Local variant	Language code Romanization system	Parent subdivision
department	CG-11	Bouenza		fr		
department	CG-BZV	Brazzaville		fr		
department	CG-8	Cuvette		fr		
department	CG-15	Cuvette-Ouest		fr		
department	CG-5	Kouilou		fr		
department	CG-7	Likouala		fr		
department	CG-2	L̩koumou		fr		
department	CG-9	Niari		fr		
department	CG-14	Plateaux		fr		
department	CG-16	Pointe-Noire		fr		
department	CG-12	Pool		fr		
department	CG-13	Sangha		fr		
